DCDD 覆
DCDE 輹
DCDF 輻
DCE0 馥
DCE1 鰒
/DCE2 本
/DCE3 乶
/DCE4 俸
DCE5 奉
DCE6 封
DCE7 峯
DCE8 峰
DCE9 捧
DCEA 棒
DCEB 烽
DCEC 熢
DCED 琫
DCEE 縫
DCEF 蓬
DCF0 蜂
DCF1 逢
DCF2 鋒
DCF3 鳳
/DCF4 不
DCF5 付
DCF6 俯
DCF7 傅
DCF8 剖
DCF9 副
DCFA 否
DCFB 咐
DCFC 埠
DCFD 夫
DCFE 婦
DDA1 孚
DDA2 孵
DDA3 富
DDA4 府
DDA5 復
DDA6 扶
DDA7 敷
DDA8 斧
DDA9 浮
DDAA 溥
DDAB 父
DDAC 符
DDAD 簿
DDAE 缶
DDAF 腐
DDB0 腑
DDB1 膚
DDB2 艀
DDB3 芙
DDB4 莩
DDB5 訃
DDB6 負
DDB7 賦
DDB8 賻
DDB9 赴
DDBA 趺
DDBB 部
DDBC 釜
DDBD 阜
DDBE 附
DDBF 駙
DDC0 鳧
/DDC1 北
/DDC2 分
DDC3 吩
DDC4 噴
DDC5 墳
DDC6 奔
DDC7 奮
DDC8 忿
DDC9 憤
DDCA 扮
DDCB 昐
DDCC 汾
DDCD 焚
DDCE 盆
DDCF 粉
DDD0 糞
DDD1 紛
DDD2 芬
DDD3 賁
DDD4 雰
/DDD5 不
DDD6 佛
DDD7 弗
DDD8 彿
DDD9 拂
/DDDA 崩
DDDB 朋
DDDC 棚
DDDD 硼
DDDE 繃
DDDF 鵬
/DDE0 丕
DDE1 備
DDE2 匕
DDE3 匪
DDE4 卑
DDE5 妃
DDE6 婢
DDE7 庇
DDE8 悲
DDE9 憊
DDEA 扉
DDEB 批
DDEC 斐
DDED 枇
DDEE 榧
DDEF 比
DDF0 毖
DDF1 毗
DDF2 毘
DDF3 沸
DDF4 泌
DDF5 琵
DDF6 痺
DDF7 砒
DDF8 碑
DDF9 秕
DDFA 秘
DDFB 粃
DDFC 緋
DDFD 翡
DDFE 肥
DEA1 脾
DEA2 臂
DEA3 菲
DEA4 蜚
DEA5 裨
DEA6 誹
DEA7 譬
DEA8 費
DEA9 鄙
DEAA 非
DEAB 飛
DEAC 鼻
/DEAD 嚬
DEAE 嬪
DEAF 彬
DEB0 斌
DEB1 檳
DEB2 殯
DEB3 浜
DEB4 濱
DEB5 瀕
DEB6 牝
DEB7 玭
DEB8 貧
DEB9 賓
DEBA 頻
/DEBB 憑
DEBC 氷
DEBD 聘
DEBE 騁
DEBF 乍
DEC0 事
DEC1 些
DEC2 仕
DEC3 伺
DEC4 似
DEC5 使
DEC6 俟
DEC7 僿
DEC8 史
DEC9 司
DECA 唆
DECB 嗣
DECC 四
DECD 士
DECE 奢
DECF 娑
DED0 寫
DED1 寺
DED2 射
DED3 巳
DED4 師
DED5 徙
DED6 思
DED7 捨
DED8 斜
DED9 斯
DEDA 柶
DEDB 査
DEDC 梭
DEDD 死
DEDE 沙
DEDF 泗
DEE0 渣
DEE1 瀉
DEE2 獅
DEE3 砂
DEE4 社
DEE5 祀
DEE6 祠
DEE7 私
DEE8 篩
DEE9 紗
DEEA 絲
DEEB 肆
DEEC 舍
DEED 莎
DEEE 蓑
DEEF 蛇
DEF0 裟
DEF1 詐
DEF2 詞
DEF3 謝
DEF4 賜
DEF5 赦
DEF6 辭
DEF7 邪
DEF8 飼
DEF9 駟
DEFA 麝
DEFB 削
DEFC 數
DEFD 朔
DEFE 索
DFA1 傘
DFA2 刪
DFA3 山
DFA4 散
DFA5 汕
DFA6 珊
DFA7 産
DFA8 疝
DFA9 算
DFAA 蒜
DFAB 酸
DFAC 霰
DFAD 乷
DFAE 撒
DFAF 殺
DFB0 煞
DFB1 薩
DFB2 三
DFB3 參
DFB4 杉
DFB5 森
DFB6 渗
DFB7 芟
DFB8 蔘
DFB9 衫
DFBA 揷
DFBB 澁
DFBC 鈒
DFBD 颯
DFBE 上
DFBF 傷
DFC0 像
DFC1 償
DFC2 商
DFC3 喪
DFC4 嘗
DFC5 孀
DFC6 尙
DFC7 峠
DFC8 常
DFC9 床
DFCA 庠
DFCB 廂
DFCC 想
DFCD 桑
DFCE 橡
DFCF 湘
DFD0 爽
DFD1 牀
DFD2 狀
DFD3 相
DFD4 祥
DFD5 箱
DFD6 翔
DFD7 裳
DFD8 觴
DFD9 詳
DFDA 象
DFDB 賞
DFDC 霜
DFDD 塞
DFDE 璽
DFDF 賽
DFE0 嗇
DFE1 塞
DFE2 穡
DFE3 索
DFE4 色
DFE5 牲
DFE6 生
DFE7 甥
DFE8 省
DFE9 笙
DFEA 墅
DFEB 壻
DFEC 嶼
DFED 序
DFEE 庶
DFEF 徐
DFF0 恕
DFF1 抒
DFF2 捿
DFF3 敍
DFF4 暑
DFF5 曙
DFF6 書
DFF7 栖
DFF8 棲
DFF9 犀
DFFA 瑞
DFFB 筮
DFFC 絮
DFFD 緖
DFFE 署
E0A1 胥
E0A2 舒
E0A3 薯
E0A4 西
E0A5 誓
E0A6 逝
E0A7 鋤
E0A8 黍
E0A9 鼠
E0AA 夕
E0AB 奭
E0AC 席
E0AD 惜
E0AE 昔
E0AF 晳
E0B0 析
E0B1 汐
E0B2 淅
E0B3 潟
E0B4 石
E0B5 碩
E0B6 蓆
E0B7 釋
E0B8 錫
E0B9 仙
E0BA 僊
E0BB 先
E0BC 善
E0BD 嬋
E0BE 宣
E0BF 扇
E0C0 敾
E0C1 旋
E0C2 渲
E0C3 煽
E0C4 琁
E0C5 瑄
E0C6 璇
E0C7 璿
E0C8 癬
E0C9 禪
E0CA 線
E0CB 繕
E0CC 羨
E0CD 腺
E0CE 膳
E0CF 船
E0D0 蘚
E0D1 蟬
E0D2 詵
E0D3 跣
E0D4 選
E0D5 銑
E0D6 鐥
E0D7 饍
E0D8 鮮
E0D9 卨
E0DA 屑
E0DB 楔
E0DC 泄
E0DD 洩
E0DE 渫
E0DF 舌
E0E0 薛
E0E1 褻
E0E2 設
E0E3 說
E0E4 雪
E0E5 齧
E0E6 剡
E0E7 暹
E0E8 殲
E0E9 纖
E0EA 蟾
E0EB 贍
E0EC 閃
E0ED 陝
E0EE 攝
E0EF 涉
E0F0 燮
E0F1 葉
E0F2 城
E0F3 姓
E0F4 宬
E0F5 性
E0F6 惺
E0F7 成
E0F8 星
E0F9 晟
E0FA 猩
E0FB 珹
E0FC 盛
E0FD 省
E0FE 筬
E1A1 聖
E1A2 聲
E1A3 腥
E1A4 誠
E1A5 醒
E1A6 世
E1A7 勢
E1A8 歲
E1A9 洗
E1AA 稅
E1AB 笹
E1AC 細
E1AD 說
E1AE 貰
E1AF 召
E1B0 嘯
E1B1 塑
E1B2 宵
E1B3 小
E1B4 少
E1B5 巢
E1B6 所
E1B7 掃
E1B8 搔
E1B9 昭
E1BA 梳
E1BB 沼
E1BC 消
E1BD 溯
E1BE 瀟
E1BF 炤
E1C0 燒
E1C1 甦
E1C2 疏
E1C3 疎
E1C4 瘙
E1C5 笑
E1C6 篠
E1C7 簫
E1C8 素
E1C9 紹
E1CA 蔬
E1CB 蕭
E1CC 蘇
E1CD 訴
E1CE 逍
E1CF 遡
E1D0 邵
E1D1 銷
E1D2 韶
E1D3 騷
E1D4 俗
E1D5 屬
E1D6 束
E1D7 涑
E1D8 粟
E1D9 續
E1DA 謖
E1DB 贖
E1DC 速
E1DD 孫
E1DE 巽
E1DF 損
E1E0 蓀
E1E1 遜
E1E2 飡
E1E3 率
E1E4 宋
E1E5 悚
E1E6 松
E1E7 淞
E1E8 訟
E1E9 誦
E1EA 送
E1EB 頌
E1EC 刷
E1ED 殺
E1EE 灑
E1EF 碎
E1F0 鎖
E1F1 衰
E1F2 釗
E1F3 修
E1F4 受
E1F5 嗽
E1F6 囚
E1F7 垂
E1F8 壽
E1F9 嫂
E1FA 守
E1FB 岫
E1FC 峀
E1FD 帥
E1FE 愁
E2A1 戍
E2A2 手
E2A3 授
E2A4 搜
E2A5 收
E2A6 數
E2A7 樹
E2A8 殊
E2A9 水
E2AA 洙
E2AB 漱
E2AC 燧
E2AD 狩
E2AE 獸
E2AF 琇
E2B0 璲
E2B1 瘦
E2B2 睡
E2B3 秀
E2B4 穗
E2B5 竪
E2B6 粹
E2B7 綏
E2B8 綬
E2B9 繡
E2BA 羞
E2BB 脩
E2BC 茱
E2BD 蒐
E2BE 蓚
E2BF 藪
E2C0 袖
E2C1 誰
E2C2 讐
E2C3 輸
E2C4 遂
E2C5 邃
E2C6 酬
E2C7 銖
E2C8 銹
E2C9 隋
E2CA 隧
E2CB 隨
E2CC 雖
E2CD 需
E2CE 須
E2CF 首
E2D0 髓
E2D1 鬚
E2D2 叔
E2D3 塾
E2D4 夙
E2D5 孰
E2D6 宿
E2D7 淑
E2D8 潚
E2D9 熟
E2DA 琡
E2DB 璹
E2DC 肅
E2DD 菽
E2DE 巡
E2DF 徇
E2E0 循
E2E1 恂
E2E2 旬
E2E3 栒
E2E4 楯
E2E5 橓
E2E6 殉
E2E7 洵
E2E8 淳
E2E9 珣
E2EA 盾
E2EB 瞬
E2EC 筍
E2ED 純
E2EE 脣
E2EF 舜
E2F0 荀
E2F1 蓴
E2F2 蕣
E2F3 詢
E2F4 諄
E2F5 醇
E2F6 錞
E2F7 順
E2F8 馴
E2F9 戌
E2FA 術
E2FB 述
E2FC 鉥
E2FD 崇
E2FE 崧
E3A1 嵩
E3A2 瑟
E3A3 膝
E3A4 蝨
E3A5 濕
E3A6 拾
E3A7 習
E3A8 褶
E3A9 襲
E3AA 丞
E3AB 乘
E3AC 僧
E3AD 勝
E3AE 升
E3AF 承
E3B0 昇
E3B1 繩
E3B2 蠅
E3B3 陞
E3B4 侍
E3B5 匙
E3B6 嘶
E3B7 始
E3B8 媤
E3B9 尸
E3BA 屎
E3BB 屍
E3BC 市
E3BD 弑
E3BE 恃
E3BF 施
E3C0 是
E3C1 時
E3C2 枾
E3C3 柴
E3C4 猜
E3C5 矢
E3C6 示
E3C7 翅
E3C8 蒔
E3C9 蓍
E3CA 視
E3CB 試
E3CC 詩
E3CD 諡
E3CE 豕
E3CF 豺
E3D0 埴
E3D1 寔
E3D2 式
E3D3 息
E3D4 拭
E3D5 植
E3D6 殖
E3D7 湜
E3D8 熄
E3D9 篒
E3DA 蝕
E3DB 識
E3DC 軾
E3DD 食
E3DE 飾
E3DF 伸
E3E0 侁
E3E1 信
E3E2 呻
E3E3 娠
E3E4 宸
E3E5 愼
E3E6 新
E3E7 晨
E3E8 燼
E3E9 申
E3EA 神
E3EB 紳
E3EC 腎
E3ED 臣
E3EE 莘
E3EF 薪
E3F0 藎
E3F1 蜃
E3F2 訊
E3F3 身
E3F4 辛
E3F5 辰
E3F6 迅
E3F7 失
E3F8 室
E3F9 實
E3FA 悉
E3FB 審
E3FC 尋
E3FD 心
E3FE 沁
E4A1 沈
E4A2 深
E4A3 瀋
E4A4 甚
E4A5 芯
E4A6 諶
E4A7 什
E4A8 十
E4A9 拾
E4AA 雙
E4AB 氏
E4AC 亞
E4AD 俄
E4AE 兒
E4AF 啞
E4B0 娥
E4B1 峨
E4B2 我
E4B3 牙
E4B4 芽
E4B5 莪
E4B6 蛾
E4B7 衙
E4B8 訝
E4B9 阿
E4BA 雅
E4BB 餓
E4BC 鴉
E4BD 鵝
E4BE 堊
E4BF 岳
E4C0 嶽
E4C1 幄
E4C2 惡
E4C3 愕
E4C4 握
E4C5 樂
E4C6 渥
E4C7 鄂
E4C8 鍔
E4C9 顎
E4CA 鰐
E4CB 齷
E4CC 安
E4CD 岸
E4CE 按
E4CF 晏
E4D0 案
E4D1 眼
E4D2 雁
E4D3 鞍
E4D4 顔
E4D5 鮟
E4D6 斡
E4D7 謁
E4D8 軋
E4D9 閼
E4DA 唵
E4DB 岩
E4DC 巖
E4DD 庵
E4DE 暗
E4DF 癌
E4E0 菴
E4E1 闇
E4E2 壓
E4E3 押
E4E4 狎
E4E5 鴨
E4E6 仰
E4E7 央
E4E8 怏
E4E9 昻
E4EA 殃
E4EB 秧
E4EC 鴦
E4ED 厓
E4EE 哀
E4EF 埃
E4F0 崖
E4F1 愛
E4F2 曖
E4F3 涯
E4F4 碍
E4F5 艾
E4F6 隘
E4F7 靄
E4F8 厄
E4F9 扼
E4FA 掖
E4FB 液
E4FC 縊
E4FD 腋
E4FE 額
E5A1 櫻
E5A2 罌
E5A3 鶯
E5A4 鸚
E5A5 也
E5A6 倻
E5A7 冶
E5A8 夜
E5A9 惹
E5AA 揶
E5AB 椰
E5AC 爺
E5AD 耶
E5AE 若
E5AF 野
E5B0 弱
E5B1 掠
E5B2 略
E5B3 約
E5B4 若
E5B5 葯
E5B6 蒻
E5B7 藥
E5B8 躍
E5B9 亮
E5BA 佯
E5BB 兩
E5BC 凉
E5BD 壤
E5BE 孃
E5BF 恙
E5C0 揚
E5C1 攘
E5C2 敭
E5C3 暘
E5C4 梁
E5C5 楊
E5C6 樣
E5C7 洋
E5C8 瀁
E5C9 煬
E5CA 痒
E5CB 瘍
E5CC 禳
E5CD 穰
E5CE 糧
E5CF 羊
E5D0 良
E5D1 襄
E5D2 諒
E5D3 讓
E5D4 釀
E5D5 陽
E5D6 量
E5D7 養
E5D8 圄
E5D9 御
E5DA 於
E5DB 漁
E5DC 瘀
E5DD 禦
E5DE 語
E5DF 馭
E5E0 魚
E5E1 齬
E5E2 億
E5E3 憶
E5E4 抑
E5E5 檍
E5E6 臆
E5E7 偃
E5E8 堰
E5E9 彦
E5EA 焉
E5EB 言
E5EC 諺
E5ED 孼
E5EE 蘖
E5EF 俺
E5F0 儼
E5F1 嚴
E5F2 奄
E5F3 掩
E5F4 淹
E5F5 嶪
E5F6 業
E5F7 円
E5F8 予
E5F9 余
E5FA 勵
E5FB 呂
E5FC 女
E5FD 如
E5FE 廬
E6A1 旅
E6A2 歟
E6A3 汝
E6A4 濾
E6A5 璵
E6A6 礖
E6A7 礪
E6A8 與
E6A9 艅
E6AA 茹
E6AB 輿
E6AC 轝
E6AD 閭
E6AE 餘
E6AF 驪
E6B0 麗
E6B1 黎
E6B2 亦
E6B3 力
E6B4 域
E6B5 役
E6B6 易
E6B7 曆
E6B8 歷
E6B9 疫
E6BA 繹
E6BB 譯
E6BC 轢
E6BD 逆
E6BE 驛
E6BF 嚥
E6C0 堧
E6C1 姸
E6C2 娟
E6C3 宴
E6C4 年
E6C5 延
E6C6 憐
E6C7 戀
E6C8 捐
E6C9 挻
E6CA 撚
E6CB 椽
E6CC 沇
E6CD 沿
E6CE 涎
E6CF 涓
E6D0 淵
E6D1 演
E6D2 漣
E6D3 烟
E6D4 然
E6D5 煙
E6D6 煉
E6D7 燃
E6D8 燕
E6D9 璉
E6DA 硏
E6DB 硯
E6DC 秊
E6DD 筵
E6DE 緣
E6DF 練
E6E0 縯
E6E1 聯
E6E2 衍
E6E3 軟
E6E4 輦
E6E5 蓮
E6E6 連
E6E7 鉛
E6E8 鍊
E6E9 鳶
E6EA 列
E6EB 劣
E6EC 咽
E6ED 悅
E6EE 涅
E6EF 烈
E6F0 熱
E6F1 裂
E6F2 說
E6F3 閱
E6F4 厭
E6F5 廉
E6F6 念
E6F7 捻
E6F8 染
E6F9 殮
E6FA 炎
E6FB 焰
E6FC 琰
E6FD 艶
E6FE 苒
E7A1 簾
E7A2 閻
E7A3 髥
E7A4 鹽
E7A5 曄
E7A6 獵
E7A7 燁
E7A8 葉
E7A9 令
E7AA 囹
E7AB 塋
E7AC 寧
E7AD 嶺
E7AE 嶸
E7AF 影
E7B0 怜
E7B1 映
E7B2 暎
E7B3 楹
E7B4 榮
E7B5 永
E7B6 泳
E7B7 渶
E7B8 潁
E7B9 濚
E7BA 瀛
E7BB 瀯
E7BC 煐
E7BD 營
E7BE 獰
E7BF 玲
E7C0 瑛
E7C1 瑩
E7C2 瓔
E7C3 盈
E7C4 穎
E7C5 纓
E7C6 羚
E7C7 聆
E7C8 英
E7C9 詠
E7CA 迎
E7CB 鈴
E7CC 鍈
E7CD 零
E7CE 霙
E7CF 靈
E7D0 領
E7D1 乂
E7D2 倪
E7D3 例
E7D4 刈
E7D5 叡
E7D6 曳
E7D7 汭
E7D8 濊
E7D9 猊
E7DA 睿
E7DB 穢
E7DC 芮
E7DD 藝
E7DE 蘂
E7DF 禮
E7E0 裔
E7E1 詣
E7E2 譽
E7E3 豫
E7E4 醴
E7E5 銳
E7E6 隸
E7E7 霓
E7E8 預
E7E9 五
E7EA 伍
E7EB 俉
E7EC 傲
E7ED 午
E7EE 吾
E7EF 吳
E7F0 嗚
E7F1 塢
E7F2 墺
E7F3 奧
E7F4 娛
E7F5 寤
E7F6 悟
E7F7 惡
E7F8 懊
E7F9 敖
E7FA 旿
E7FB 晤
E7FC 梧
E7FD 汚
E7FE 澳
E8A1 烏
E8A2 熬
E8A3 獒
E8A4 筽
E8A5 蜈
E8A6 誤
E8A7 鰲
E8A8 鼇
E8A9 屋
E8AA 沃
E8AB 獄
E8AC 玉
E8AD 鈺
E8AE 溫
E8AF 瑥
E8B0 瘟
E8B1 穩
E8B2 縕
E8B3 蘊
E8B4 兀
E8B5 壅
E8B6 擁
E8B7 瓮
E8B8 甕
E8B9 癰
E8BA 翁
E8BB 邕
E8BC 雍
E8BD 饔
E8BE 渦
E8BF 瓦
E8C0 窩
E8C1 窪
E8C2 臥
E8C3 蛙
E8C4 蝸
E8C5 訛
E8C6 婉
E8C7 完
E8C8 宛
E8C9 梡
E8CA 椀
E8CB 浣
E8CC 玩
E8CD 琓
E8CE 琬
E8CF 碗
E8D0 緩
E8D1 翫
E8D2 脘
E8D3 腕
E8D4 莞
E8D5 豌
E8D6 阮
E8D7 頑
E8D8 曰
E8D9 往
E8DA 旺
E8DB 枉
E8DC 汪
E8DD 王
E8DE 倭
E8DF 娃
E8E0 歪
E8E1 矮
E8E2 外
E8E3 嵬
E8E4 巍
E8E5 猥
E8E6 畏
E8E7 了
E8E8 僚
E8E9 僥
E8EA 凹
E8EB 堯
E8EC 夭
E8ED 妖
E8EE 姚
E8EF 寥
E8F0 寮
E8F1 尿
E8F2 嶢
E8F3 拗
E8F4 搖
E8F5 撓
E8F6 擾
E8F7 料
E8F8 曜
E8F9 樂
E8FA 橈
E8FB 燎
E8FC 燿
E8FD 瑤
E8FE 療
E9A1 窈
E9A2 窯
E9A3 繇
E9A4 繞
E9A5 耀
E9A6 腰
E9A7 蓼
E9A8 蟯
E9A9 要
E9AA 謠
E9AB 遙
E9AC 遼
E9AD 邀
E9AE 饒
E9AF 慾
E9B0 欲
E9B1 浴
E9B2 縟
E9B3 褥
E9B4 辱
E9B5 俑
E9B6 傭
E9B7 冗
E9B8 勇
E9B9 埇
E9BA 墉
E9BB 容
E9BC 庸
E9BD 慂
E9BE 榕
E9BF 涌
E9C0 湧
E9C1 溶
E9C2 熔
E9C3 瑢
E9C4 用
E9C5 甬
E9C6 聳
E9C7 茸
E9C8 蓉
E9C9 踊
E9CA 鎔
E9CB 鏞
E9CC 龍
E9CD 于
E9CE 佑
E9CF 偶
E9D0 優
E9D1 又
E9D2 友
E9D3 右
E9D4 宇
E9D5 寓
E9D6 尤
E9D7 愚
E9D8 憂
E9D9 旴
E9DA 牛
E9DB 玗
E9DC 瑀
E9DD 盂
E9DE 祐
E9DF 禑
E9E0 禹
E9E1 紆
E9E2 羽
E9E3 芋
E9E4 藕
E9E5 虞
E9E6 迂
E9E7 遇
E9E8 郵
E9E9 釪
E9EA 隅
E9EB 雨
E9EC 雩
E9ED 勖
E9EE 彧
E9EF 旭
E9F0 昱
E9F1 栯
E9F2 煜
E9F3 稶
E9F4 郁
E9F5 頊
E9F6 云
E9F7 暈
E9F8 橒
E9F9 殞
E9FA 澐
E9FB 熉
E9FC 耘
E9FD 芸
E9FE 蕓
EAA1 運
EAA2 隕
EAA3 雲
EAA4 韻
EAA5 蔚
EAA6 鬱
EAA7 亐
EAA8 熊
EAA9 雄
EAAA 元
EAAB 原
EAAC 員
EAAD 圓
EAAE 園
EAAF 垣
EAB0 媛
EAB1 嫄
EAB2 寃
EAB3 怨
EAB4 愿
EAB5 援
EAB6 沅
EAB7 洹
EAB8 湲
EAB9 源
EABA 爰
EABB 猿
EABC 瑗
EABD 苑
EABE 袁
EABF 轅
EAC0 遠
EAC1 阮
EAC2 院
EAC3 願
EAC4 鴛
EAC5 月
EAC6 越
EAC7 鉞
EAC8 位
EAC9 偉
EACA 僞
EACB 危
EACC 圍
EACD 委
EACE 威
EACF 尉
EAD0 慰
EAD1 暐
EAD2 渭
EAD3 爲
EAD4 瑋
EAD5 緯
EAD6 胃
EAD7 萎
EAD8 葦
EAD9 蔿
EADA 蝟
EADB 衛
EADC 褘
EADD 謂
EADE 違
EADF 韋
EAE0 魏
EAE1 乳
EAE2 侑
EAE3 儒
EAE4 兪
EAE5 劉
EAE6 唯
EAE7 喩
EAE8 孺
EAE9 宥
EAEA 幼
EAEB 幽
EAEC 庾
EAED 悠
EAEE 惟
EAEF 愈
EAF0 愉
EAF1 揄
EAF2 攸
EAF3 有
EAF4 杻
EAF5 柔
EAF6 柚
EAF7 柳
EAF8 楡
EAF9 楢
EAFA 油
EAFB 洧
EAFC 流
EAFD 游
EAFE 溜
EBA1 濡
EBA2 猶
EBA3 猷
EBA4 琉
EBA5 瑜
EBA6 由
EBA7 留
EBA8 癒
EBA9 硫
EBAA 紐
EBAB 維
EBAC 臾
EBAD 萸
EBAE 裕
EBAF 誘
EBB0 諛
EBB1 諭
EBB2 踰
EBB3 蹂
EBB4 遊
EBB5 逾
EBB6 遺
EBB7 酉
EBB8 釉
EBB9 鍮
EBBA 類
EBBB 六
EBBC 堉
EBBD 戮
EBBE 毓
EBBF 肉
EBC0 育
EBC1 陸
EBC2 倫
EBC3 允
EBC4 奫
EBC5 尹
EBC6 崙
EBC7 淪
EBC8 潤
EBC9 玧
EBCA 胤
EBCB 贇
EBCC 輪
EBCD 鈗
EBCE 閏
EBCF 律
EBD0 慄
EBD1 栗
EBD2 率
EBD3 聿
EBD4 戎
EBD5 瀜
EBD6 絨
EBD7 融
EBD8 隆
EBD9 垠
EBDA 恩
EBDB 慇
EBDC 殷
EBDD 誾
EBDE 銀
EBDF 隱
EBE0 乙
EBE1 吟
EBE2 淫
EBE3 蔭
EBE4 陰
EBE5 音
EBE6 飮
EBE7 揖
EBE8 泣
EBE9 邑
EBEA 凝
EBEB 應
EBEC 膺
EBED 鷹
EBEE 依
EBEF 倚
EBF0 儀
EBF1 宜
EBF2 意
EBF3 懿
EBF4 擬
EBF5 椅
EBF6 毅
EBF7 疑
EBF8 矣
EBF9 義
EBFA 艤
EBFB 薏
EBFC 蟻
EBFD 衣
EBFE 誼
ECA1 議
ECA2 醫
ECA3 二
ECA4 以
ECA5 伊
ECA6 利
ECA7 吏
ECA8 夷
ECA9 姨
ECAA 履
ECAB 已
ECAC 弛
ECAD 彛
ECAE 怡
ECAF 易
ECB0 李
ECB1 梨
ECB2 泥
ECB3 爾
ECB4 珥
ECB5 理
ECB6 異
ECB7 痍
ECB8 痢
ECB9 移
ECBA 罹
ECBB 而
ECBC 耳
ECBD 肄
ECBE 苡
ECBF 荑
ECC0 裏
ECC1 裡
ECC2 貽
ECC3 貳
ECC4 邇
ECC5 里
ECC6 離
ECC7 飴
ECC8 餌
ECC9 匿
ECCA 溺
ECCB 瀷
ECCC 益
ECCD 翊
ECCE 翌
ECCF 翼
ECD0 謚
ECD1 人
ECD2 仁
ECD3 刃
ECD4 印
ECD5 吝
ECD6 咽
ECD7 因
ECD8 姻
ECD9 寅
ECDA 引
ECDB 忍
ECDC 湮
ECDD 燐
ECDE 璘
ECDF 絪
ECE0 茵
ECE1 藺
ECE2 蚓
ECE3 認
ECE4 隣
ECE5 靭
ECE6 靷
ECE7 鱗
ECE8 麟
ECE9 一
ECEA 佚
ECEB 佾
ECEC 壹
ECED 日
ECEE 溢
ECEF 逸
ECF0 鎰
ECF1 馹
ECF2 任
ECF3 壬
ECF4 妊
ECF5 姙
ECF6 恁
ECF7 林
ECF8 淋
ECF9 稔
ECFA 臨
ECFB 荏
ECFC 賃
ECFD 入
ECFE 卄
EDA1 立
EDA2 笠
EDA3 粒
EDA4 仍
EDA5 剩
EDA6 孕
EDA7 芿
EDA8 仔
EDA9 刺
EDAA 咨
EDAB 姉
EDAC 姿
EDAD 子
EDAE 字
EDAF 孜
EDB0 恣
EDB1 慈
EDB2 滋
EDB3 炙
EDB4 煮
EDB5 玆
EDB6 瓷
EDB7 疵
EDB8 磁
EDB9 紫
EDBA 者
EDBB 自
EDBC 茨
EDBD 蔗
EDBE 藉
EDBF 諮
EDC0 資
EDC1 雌
EDC2 作
EDC3 勺
EDC4 嚼
EDC5 斫
EDC6 昨
EDC7 灼
EDC8 炸
EDC9 爵
EDCA 綽
EDCB 芍
EDCC 酌
EDCD 雀
EDCE 鵲
EDCF 孱
EDD0 棧
EDD1 殘
EDD2 潺
EDD3 盞
EDD4 岑
EDD5 暫
EDD6 潛
EDD7 箴
EDD8 簪
EDD9 蠶
EDDA 雜
EDDB 丈
EDDC 仗
EDDD 匠
EDDE 場
EDDF 墻
EDE0 壯
EDE1 奬
EDE2 將
EDE3 帳
EDE4 庄
EDE5 張
EDE6 掌
EDE7 暲
EDE8 杖
EDE9 樟
EDEA 檣
EDEB 欌
EDEC 漿
EDED 牆
EDEE 狀
EDEF 獐
EDF0 璋
EDF1 章
EDF2 粧
EDF3 腸
EDF4 臟
EDF5 臧
EDF6 莊
EDF7 葬
EDF8 蔣
EDF9 薔
EDFA 藏
EDFB 裝
EDFC 贓
EDFD 醬
EDFE 長
EEA1 障
EEA2 再
EEA3 哉
EEA4 在
EEA5 宰
EEA6 才
EEA7 材
EEA8 栽
EEA9 梓
EEAA 渽
EEAB 滓
EEAC 災
EEAD 縡
EEAE 裁
EEAF 財
EEB0 載
EEB1 齋
EEB2 齎
EEB3 爭
EEB4 箏
EEB5 諍
EEB6 錚
EEB7 佇
EEB8 低
EEB9 儲
EEBA 咀
EEBB 姐
EEBC 底
EEBD 抵
EEBE 杵
EEBF 楮
EEC0 樗
EEC1 沮
EEC2 渚
EEC3 狙
EEC4 猪
EEC5 疽
EEC6 箸
EEC7 紵
EEC8 苧
EEC9 菹
EECA 著
EECB 藷
EECC 詛
EECD 貯
EECE 躇
EECF 這
EED0 邸
EED1 雎
EED2 齟
EED3 勣
EED4 吊
EED5 嫡
EED6 寂
EED7 摘
EED8 敵
EED9 滴
EEDA 狄
EEDB 炙
EEDC 的
EEDD 積
EEDE 笛
EEDF 籍
EEE0 績
EEE1 翟
EEE2 荻
EEE3 謫
EEE4 賊
EEE5 赤
EEE6 跡
EEE7 蹟
EEE8 迪
EEE9 迹
EEEA 適
EEEB 鏑
EEEC 佃
EEED 佺
EEEE 傳
EEEF 全
EEF0 典
EEF1 前
EEF2 剪
EEF3 塡
EEF4 塼
EEF5 奠
EEF6 專
EEF7 展
EEF8 廛
EEF9 悛
EEFA 戰
EEFB 栓
EEFC 殿
EEFD 氈
EEFE 澱
EFA1 煎
EFA2 琠
EFA3 田
EFA4 甸
EFA5 畑
EFA6 癲
EFA7 筌
EFA8 箋
EFA9 箭
EFAA 篆
EFAB 纏
EFAC 詮
EFAD 輾
EFAE 轉
EFAF 鈿
EFB0 銓
EFB1 錢
EFB2 鐫
EFB3 電
EFB4 顚
EFB5 顫
EFB6 餞
EFB7 切
EFB8 截
EFB9 折
EFBA 浙
EFBB 癤
EFBC 竊
EFBD 節
EFBE 絶
EFBF 占
EFC0 岾
EFC1 店
EFC2 漸
EFC3 点
EFC4 粘
EFC5 霑
EFC6 鮎
EFC7 點
EFC8 接
EFC9 摺
EFCA 蝶
EFCB 丁
EFCC 井
EFCD 亭
EFCE 停
EFCF 偵
EFD0 呈
EFD1 姃
EFD2 定
