CEBD 館
/CEBE 刮
CEBF 恝
CEC0 括
CEC1 适
/CEC2 侊
CEC3 光
CEC4 匡
CEC5 壙
CEC6 廣
CEC7 曠
CEC8 洸
CEC9 炚
CECA 狂
CECB 珖
CECC 筐
CECD 胱
CECE 鑛
/CECF 卦
CED0 掛
CED1 罫
/CED2 乖
CED3 傀
CED4 塊
CED5 壞
CED6 怪
CED7 愧
CED8 拐
CED9 槐
CEDA 魁
/CEDB 宏
CEDC 紘
CEDD 肱
CEDE 轟
/CEDF 交
CEE0 僑
CEE1 咬
CEE2 喬
CEE3 嬌
CEE4 嶠
CEE5 巧
CEE6 攪
CEE7 敎
CEE8 校
CEE9 橋
CEEA 狡
CEEB 皎
CEEC 矯
CEED 絞
CEEE 翹
CEEF 膠
CEF0 蕎
CEF1 蛟
CEF2 較
CEF3 轎
CEF4 郊
CEF5 餃
CEF6 驕
CEF7 鮫
/CEF8 丘
CEF9 久
CEFA 九
CEFB 仇
CEFC 俱
CEFD 具
CEFE 勾
CFA1 區
CFA2 口
CFA3 句
CFA4 咎
CFA5 嘔
CFA6 坵
CFA7 垢
CFA8 寇
CFA9 嶇
CFAA 廐
CFAB 懼
CFAC 拘
CFAD 救
CFAE 枸
CFAF 柩
CFB0 構
CFB1 歐
CFB2 毆
CFB3 毬
CFB4 求
CFB5 溝
CFB6 灸
CFB7 狗
CFB8 玖
CFB9 球
CFBA 瞿
CFBB 矩
CFBC 究
CFBD 絿
CFBE 耉
CFBF 臼
CFC0 舅
CFC1 舊
CFC2 苟
CFC3 衢
CFC4 謳
CFC5 購
CFC6 軀
CFC7 逑
CFC8 邱
CFC9 鉤
CFCA 銶
CFCB 駒
CFCC 驅
CFCD 鳩
CFCE 鷗
CFCF 龜
/CFD0 國
CFD1 局
CFD2 菊
CFD3 鞠
CFD4 鞫
CFD5 麴
/CFD6 君
CFD7 窘
CFD8 群
CFD9 裙
CFDA 軍
CFDB 郡
/CFDC 堀
CFDD 屈
CFDE 掘
CFDF 窟
/CFE0 宮
CFE1 弓
CFE2 穹
CFE3 窮
CFE4 芎
CFE5 躬
/CFE6 倦
CFE7 券
CFE8 勸
CFE9 卷
CFEA 圈
CFEB 拳
CFEC 捲
CFED 權
CFEE 淃
CFEF 眷
/CFF0 厥
CFF1 獗
CFF2 蕨
CFF3 蹶
CFF4 闕
/CFF5 机
CFF6 櫃
CFF7 潰
CFF8 詭
CFF9 軌
CFFA 饋
/CFFB 句
CFFC 晷
CFFD 歸
CFFE 貴
D0A1 鬼
D0A2 龜
/D0A3 叫
D0A4 圭
D0A5 奎
D0A6 揆
D0A7 槻
D0A8 珪
D0A9 硅
D0AA 窺
D0AB 竅
D0AC 糾
D0AD 葵
D0AE 規
D0AF 赳
D0B0 逵
D0B1 閨
/D0B2 勻
D0B3 均
D0B4 畇
D0B5 筠
D0B6 菌
D0B7 鈞
D0B8 龜
/D0B9 橘
/D0BA 克
D0BB 剋
D0BC 劇
D0BD 戟
D0BE 棘
D0BF 極
D0C0 隙
/D0C1 僅
D0C2 劤
D0C3 勤
D0C4 懃
D0C5 斤
D0C6 根
D0C7 槿
D0C8 瑾
D0C9 筋
D0CA 芹
D0CB 菫
D0CC 覲
D0CD 謹
D0CE 近
D0CF 饉
/D0D0 契
/D0D1 今
D0D2 妗
D0D3 擒
D0D4 昑
D0D5 檎
D0D6 琴
D0D7 禁
D0D8 禽
D0D9 芩
D0DA 衾
D0DB 衿
D0DC 襟
D0DD 金
D0DE 錦
/D0DF 伋
D0E0 及
D0E1 急
D0E2 扱
D0E3 汲
D0E4 級
D0E5 給
/D0E6 亘
D0E7 兢
D0E8 矜
D0E9 肯
/D0EA 企
D0EB 伎
D0EC 其
D0ED 冀
D0EE 嗜
D0EF 器
D0F0 圻
D0F1 基
D0F2 埼
D0F3 夔
D0F4 奇
D0F5 妓
D0F6 寄
D0F7 岐
D0F8 崎
D0F9 己
D0FA 幾
D0FB 忌
D0FC 技
D0FD 旗
D0FE 旣
D1A1 朞
D1A2 期
D1A3 杞
D1A4 棋
D1A5 棄
D1A6 機
D1A7 欺
D1A8 氣
D1A9 汽
D1AA 沂
D1AB 淇
D1AC 玘
D1AD 琦
D1AE 琪
D1AF 璂
D1B0 璣
D1B1 畸
D1B2 畿
D1B3 碁
D1B4 磯
D1B5 祁
D1B6 祇
D1B7 祈
D1B8 祺
D1B9 箕
D1BA 紀
D1BB 綺
D1BC 羈
D1BD 耆
D1BE 耭
D1BF 肌
D1C0 記
D1C1 譏
D1C2 豈
D1C3 起
D1C4 錡
D1C5 錤
D1C6 飢
D1C7 饑
D1C8 騎
D1C9 騏
D1CA 驥
D1CB 麒
/D1CC 緊
/D1CD 佶
D1CE 吉
D1CF 拮
